ecodistrict,year,model,scenario,tmin,prcp,ivpd,itmin,iphoto
13,2000,RCM4,RCP45,-6.77150684931508,73.12,364.142135384615,89.9285714285714,227.706111111111
13,2001,RCM4,RCP45,-5.96383561643836,68.31,364.568163076923,94.0857142857143,227.706111111111
13,2002,RCM4,RCP45,-7.52849315068494,77.3000000000001,365,86.5857142857143,227.706111111111
13,2003,RCM4,RCP45,-5.55287671232877,92.4900000000001,364.479806153846,114.057142857143,227.706111111111
13,2004,RCM4,RCP45,-6.10383561643836,87.0800000000001,364.998806153846,99.1142857142857,227.706111111111
13,2005,RCM4,RCP45,-5.62520547945205,87.78,364.759864615385,114.571428571429,227.706111111111
13,2006,RCM4,RCP45,-4.13013698630137,81.7300000000001,364.750021538462,117.228571428571,227.706111111111
13,2007,RCM4,RCP45,-6.37972602739726,83.4100000000001,364.962347692308,90.1142857142858,227.706111111111
13,2008,RCM4,RCP45,-6.36082191780822,79.64,364.464243076923,111.185714285714,227.706111111111
13,2009,RCM4,RCP45,-6.12958904109589,78.9700000000001,364.968658461538,82.3714285714286,227.706111111111
13,2010,RCM4,RCP45,-2.25424657534246,87.0000000000001,364.967018461538,117.157142857143,227.706111111111
13,2090,RCM4,RCP45,-0.949863013698629,98.9,364.509516923077,149.828571428571,227.706111111111
13,2091,RCM4,RCP45,-1.39479452054794,89.43,364.404726153846,152.542857142857,227.706111111111
13,2092,RCM4,RCP45,-1.39917808219178,102.7,364.480833846154,148.3,227.706111111111
13,2093,RCM4,RCP45,-1.77150684931507,105.44,364.528172307692,140.414285714286,227.706111111111
13,2094,RCM4,RCP45,-1.09424657534247,96.32,364.316910769231,136.2,227.706111111111
13,2095,RCM4,RCP45,-1.19671232876712,87.11,364.778221538462,147.442857142857,227.706111111111
13,2096,RCM4,RCP45,-1.18246575342466,82.5900000000001,364.785424615385,148.585714285714,227.706111111111
13,2097,RCM4,RCP45,-0.924657534246575,91.95,364.266243076923,137.014285714286,227.706111111111
13,2098,RCM4,RCP45,-1.19041095890411,114.7,364.773630769231,133.728571428571,227.706111111111
13,2099,RCM4,RCP45,-1.91013698630137,91.16,364.946193846154,134.128571428571,227.706111111111
13,2100,RCM4,RCP45,-1.44054794520548,86.72,364.755449230769,151.857142857143,227.706111111111
145,2000,RCM4,RCP45,-13.5139726027397,22.11,364.731027692308,69.3142857142857,213.317777777778
145,2001,RCM4,RCP45,-11.9890410958904,18.5,364.585452307692,76.3857142857142,213.317777777778
145,2002,RCM4,RCP45,-12.8194520547945,13.59,364.8564,68.1857142857143,213.317777777778
145,2003,RCM4,RCP45,-12.4120547945206,18.91,364.663818461538,73.0428571428571,213.317777777778
145,2004,RCM4,RCP45,-15.1556164383562,16.94,364.694049230769,63.8857142857143,213.317777777778
145,2005,RCM4,RCP45,-12.312602739726,24.77,364.900938461538,69.0285714285714,213.317777777778
145,2006,RCM4,RCP45,-10.6254794520548,14.53,364.350003076923,94.3285714285715,213.317777777778
145,2007,RCM4,RCP45,-12.5723287671233,11.93,364.077596923077,77.9428571428571,213.317777777778
145,2008,RCM4,RCP45,-12.4997260273973,31.4,364.886089230769,78.7428571428571,213.317777777778
145,2009,RCM4,RCP45,-12.8465753424657,17.02,364.999393846154,72.5142857142857,213.317777777778
145,2010,RCM4,RCP45,-10.5465753424658,23.33,364.869141538462,93.3,213.317777777778
145,2090,RCM4,RCP45,-7.8923287671233,15.8,364.432021538462,104.057142857143,213.317777777778
